dateday,season,year,month,holiday,day_of_week,workingday,weather_situation,temp,atemp,humidity,casual,registered,count,monthly_avg,weekday_avg,usage_cluster
2011-01-01,Spring,0,1,0,Saturday,0,Mist,0.344167,0.363625,0.805833,331,654,985,2176.3387096774195,4550.542857142857,Low
2011-01-02,Spring,0,1,0,Sunday,0,Mist,0.363478,0.353739,0.696087,131,670,801,2176.3387096774195,4228.828571428571,Low
2011-01-03,Spring,0,1,0,Monday,1,Clear,0.196364,0.189405,0.437273,120,1229,1349,2176.3387096774195,4338.1238095238095,Low
2011-01-04,Spring,0,1,0,Tuesday,1,Clear,0.2,0.212122,0.590435,108,1454,1562,2176.3387096774195,4510.663461538462,Low
2011-01-05,Spring,0,1,0,Wednesday,1,Clear,0.226957,0.22927,0.436957,82,1518,1600,2176.3387096774195,4548.538461538462,Low
2011-01-06,Spring,0,1,0,Thursday,1,Clear,0.204348,0.233209,0.518261,88,1518,1606,2176.3387096774195,4667.259615384615,Low
2011-01-07,Spring,0,1,0,Friday,1,Mist,0.196522,0.208839,0.498696,148,1362,1510,2176.3387096774195,4690.288461538462,Low
2011-01-08,Spring,0,1,0,Saturday,0,Mist,0.165,0.162254,0.535833,68,891,959,2176.3387096774195,4550.542857142857,Low
2011-01-09,Spring,0,1,0,Sunday,0,Clear,0.138333,0.116175,0.434167,54,768,822,2176.3387096774195,4228.828571428571,Low
2011-01-10,Spring,0,1,0,Monday,1,Clear,0.150833,0.150888,0.482917,41,1280,1321,2176.3387096774195,4338.1238095238095,Low
2011-01-11,Spring,0,1,0,Tuesday,1,Mist,0.169091,0.191464,0.686364,43,1220,1263,2176.3387096774195,4510.663461538462,Low
2011-01-12,Spring,0,1,0,Wednesday,1,Clear,0.172727,0.160473,0.599545,25,1137,1162,2176.3387096774195,4548.538461538462,Low
2011-01-13,Spring,0,1,0,Thursday,1,Clear,0.165,0.150883,0.470417,38,1368,1406,2176.3387096774195,4667.259615384615,Low
2011-01-14,Spring,0,1,0,Friday,1,Clear,0.16087,0.188413,0.537826,54,1367,1421,2176.3387096774195,4690.288461538462,Low
2011-01-15,Spring,0,1,0,Saturday,0,Mist,0.233333,0.248112,0.49875,222,1026,1248,2176.3387096774195,4550.542857142857,Low
2011-01-16,Spring,0,1,0,Sunday,0,Clear,0.231667,0.234217,0.48375,251,953,1204,2176.3387096774195,4228.828571428571,Low
2011-01-17,Spring,0,1,1,Monday,0,Mist,0.175833,0.176771,0.5375,117,883,1000,2176.3387096774195,4338.1238095238095,Low
2011-01-18,Spring,0,1,0,Tuesday,1,Mist,0.216667,0.232333,0.861667,9,674,683,2176.3387096774195,4510.663461538462,Low
2011-01-19,Spring,0,1,0,Wednesday,1,Mist,0.292174,0.298422,0.741739,78,1572,1650,2176.3387096774195,4548.538461538462,Low
2011-01-20,Spring,0,1,0,Thursday,1,Mist,0.261667,0.25505,0.538333,83,1844,1927,2176.3387096774195,4667.259615384615,Low
